18:13:12.177 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:13:12.322 INFO  ExecHelper - Result: 0
18:13:13.237 INFO  ReductionDriver - Starting reduction for variant_488
18:13:13.258 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_lock_step_relax/variant_488.comp reduction_results/cezanne_radeon_vega/syn_lock_step_relax/variant_488/variant_488.json
18:13:13.260 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:13:13.260 INFO  ExecHelper - Result: 127
18:13:13.260 INFO  CustomFileJudge - Custom file judge result: 127
18:13:13.260 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:13:13.271 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_lock_step_relax/variant_488.comp reduction_results/cezanne_radeon_vega/syn_lock_step_relax/variant_488/variant_488.json
18:13:13.272 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:13:13.273 INFO  ExecHelper - Result: 127
18:13:13.273 INFO  CustomFileJudge - Custom file judge result: 127
18:13:13.273 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:13:13.281 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_lock_step_relax/variant_488.comp reduction_results/cezanne_radeon_vega/syn_lock_step_relax/variant_488/variant_488.json
18:13:13.283 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:13:13.283 INFO  ExecHelper - Result: 127
18:13:13.283 INFO  CustomFileJudge - Custom file judge result: 127
18:13:13.283 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:13:13.292 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_lock_step_relax/variant_488.comp reduction_results/cezanne_radeon_vega/syn_lock_step_relax/variant_488/variant_488.json
18:13:13.293 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:13:13.293 INFO  ExecHelper - Result: 127
18:13:13.293 INFO  CustomFileJudge - Custom file judge result: 127
18:13:13.293 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:13:13.301 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_lock_step_relax/variant_488.comp reduction_results/cezanne_radeon_vega/syn_lock_step_relax/variant_488/variant_488.json
18:13:13.303 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:13:13.303 INFO  ExecHelper - Result: 127
18:13:13.303 INFO  CustomFileJudge - Custom file judge result: 127
18:13:13.303 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:13:13.303 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/cezanne_radeon_vega/syn_lock_step_relax/variant_488.json interestingness_test --output reduction_results/cezanne_radeon_vega/syn_lock_step_relax/variant_488 /opt/reduce/cezanne_radeon_vega/syn_lock_step_relax/variant_488.comp
