18:25:10.586 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:25:10.640 INFO  ExecHelper - Result: 0
18:25:10.697 INFO  ReductionDriver - Starting reduction for variant_849
18:25:10.701 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_memory_converge/variant_849.comp reduction_results/cezanne_radeon_vega/syn_memory_converge/variant_849/variant_849.json
18:25:10.703 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:25:10.703 INFO  ExecHelper - Result: 127
18:25:10.703 INFO  CustomFileJudge - Custom file judge result: 127
18:25:10.703 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:25:10.704 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_memory_converge/variant_849.comp reduction_results/cezanne_radeon_vega/syn_memory_converge/variant_849/variant_849.json
18:25:10.705 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:25:10.705 INFO  ExecHelper - Result: 127
18:25:10.705 INFO  CustomFileJudge - Custom file judge result: 127
18:25:10.705 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:25:10.706 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_memory_converge/variant_849.comp reduction_results/cezanne_radeon_vega/syn_memory_converge/variant_849/variant_849.json
18:25:10.707 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:25:10.708 INFO  ExecHelper - Result: 127
18:25:10.708 INFO  CustomFileJudge - Custom file judge result: 127
18:25:10.708 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:25:10.708 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_memory_converge/variant_849.comp reduction_results/cezanne_radeon_vega/syn_memory_converge/variant_849/variant_849.json
18:25:10.709 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:25:10.710 INFO  ExecHelper - Result: 127
18:25:10.710 INFO  CustomFileJudge - Custom file judge result: 127
18:25:10.710 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:25:10.710 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_memory_converge/variant_849.comp reduction_results/cezanne_radeon_vega/syn_memory_converge/variant_849/variant_849.json
18:25:10.711 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:25:10.712 INFO  ExecHelper - Result: 127
18:25:10.712 INFO  CustomFileJudge - Custom file judge result: 127
18:25:10.712 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:25:10.712 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/cezanne_radeon_vega/syn_memory_converge/variant_849.json interestingness_test --output reduction_results/cezanne_radeon_vega/syn_memory_converge/variant_849 /opt/reduce/cezanne_radeon_vega/syn_memory_converge/variant_849.comp
