18:40:52.726 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:40:52.774 INFO  ExecHelper - Result: 0
18:40:52.833 INFO  ReductionDriver - Starting reduction for variant_966
18:40:52.837 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_memory_converge_atomic/variant_966.comp reduction_results/cezanne_radeon_vega/syn_memory_converge_atomic/variant_966/variant_966.json
18:40:52.839 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:40:52.839 INFO  ExecHelper - Result: 127
18:40:52.839 INFO  CustomFileJudge - Custom file judge result: 127
18:40:52.840 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:40:52.840 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_memory_converge_atomic/variant_966.comp reduction_results/cezanne_radeon_vega/syn_memory_converge_atomic/variant_966/variant_966.json
18:40:52.841 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:40:52.842 INFO  ExecHelper - Result: 127
18:40:52.842 INFO  CustomFileJudge - Custom file judge result: 127
18:40:52.842 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:40:52.842 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_memory_converge_atomic/variant_966.comp reduction_results/cezanne_radeon_vega/syn_memory_converge_atomic/variant_966/variant_966.json
18:40:52.843 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:40:52.844 INFO  ExecHelper - Result: 127
18:40:52.844 INFO  CustomFileJudge - Custom file judge result: 127
18:40:52.844 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:40:52.844 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_memory_converge_atomic/variant_966.comp reduction_results/cezanne_radeon_vega/syn_memory_converge_atomic/variant_966/variant_966.json
18:40:52.846 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:40:52.846 INFO  ExecHelper - Result: 127
18:40:52.846 INFO  CustomFileJudge - Custom file judge result: 127
18:40:52.846 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:40:52.847 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_memory_converge_atomic/variant_966.comp reduction_results/cezanne_radeon_vega/syn_memory_converge_atomic/variant_966/variant_966.json
18:40:52.848 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:40:52.848 INFO  ExecHelper - Result: 127
18:40:52.848 INFO  CustomFileJudge - Custom file judge result: 127
18:40:52.848 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:40:52.848 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/cezanne_radeon_vega/syn_memory_converge_atomic/variant_966.json interestingness_test --output reduction_results/cezanne_radeon_vega/syn_memory_converge_atomic/variant_966 /opt/reduce/cezanne_radeon_vega/syn_memory_converge_atomic/variant_966.comp
