18:41:33.764 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:41:33.947 INFO  ExecHelper - Result: 0
18:41:34.616 INFO  ReductionDriver - Starting reduction for variant_363
18:41:34.641 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op/variant_363.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op/variant_363/variant_363.json
18:41:34.643 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:41:34.644 INFO  ExecHelper - Result: 127
18:41:34.644 INFO  CustomFileJudge - Custom file judge result: 127
18:41:34.644 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:41:34.658 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op/variant_363.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op/variant_363/variant_363.json
18:41:34.660 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:41:34.660 INFO  ExecHelper - Result: 127
18:41:34.660 INFO  CustomFileJudge - Custom file judge result: 127
18:41:34.660 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:41:34.673 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op/variant_363.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op/variant_363/variant_363.json
18:41:34.674 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:41:34.674 INFO  ExecHelper - Result: 127
18:41:34.674 INFO  CustomFileJudge - Custom file judge result: 127
18:41:34.674 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:41:34.687 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op/variant_363.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op/variant_363/variant_363.json
18:41:34.688 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:41:34.688 INFO  ExecHelper - Result: 127
18:41:34.688 INFO  CustomFileJudge - Custom file judge result: 127
18:41:34.688 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:41:34.700 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op/variant_363.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op/variant_363/variant_363.json
18:41:34.701 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:41:34.701 INFO  ExecHelper - Result: 127
18:41:34.701 INFO  CustomFileJudge - Custom file judge result: 127
18:41:34.701 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:41:34.701 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/cezanne_radeon_vega/syn_subgroup_op/variant_363.json interestingness_test --output reduction_results/cezanne_radeon_vega/syn_subgroup_op/variant_363 /opt/reduce/cezanne_radeon_vega/syn_subgroup_op/variant_363.comp
