18:42:11.498 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:42:11.572 INFO  ExecHelper - Result: 0
18:42:12.542 INFO  ReductionDriver - Starting reduction for variant_158
18:42:12.562 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_relax/variant_158.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op_relax/variant_158/variant_158.json
18:42:12.564 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:42:12.564 INFO  ExecHelper - Result: 127
18:42:12.564 INFO  CustomFileJudge - Custom file judge result: 127
18:42:12.564 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:42:12.573 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_relax/variant_158.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op_relax/variant_158/variant_158.json
18:42:12.575 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:42:12.575 INFO  ExecHelper - Result: 127
18:42:12.575 INFO  CustomFileJudge - Custom file judge result: 127
18:42:12.575 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:42:12.582 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_relax/variant_158.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op_relax/variant_158/variant_158.json
18:42:12.583 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:42:12.584 INFO  ExecHelper - Result: 127
18:42:12.584 INFO  CustomFileJudge - Custom file judge result: 127
18:42:12.584 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:42:12.591 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_relax/variant_158.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op_relax/variant_158/variant_158.json
18:42:12.592 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:42:12.592 INFO  ExecHelper - Result: 127
18:42:12.592 INFO  CustomFileJudge - Custom file judge result: 127
18:42:12.592 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:42:12.599 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_relax/variant_158.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op_relax/variant_158/variant_158.json
18:42:12.600 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:42:12.600 INFO  ExecHelper - Result: 127
18:42:12.600 INFO  CustomFileJudge - Custom file judge result: 127
18:42:12.600 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:42:12.600 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_relax/variant_158.json interestingness_test --output reduction_results/cezanne_radeon_vega/syn_subgroup_op_relax/variant_158 /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_relax/variant_158.comp
