18:42:34.889 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:42:34.988 INFO  ExecHelper - Result: 0
18:42:35.840 INFO  ReductionDriver - Starting reduction for variant_116
18:42:35.861 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_release/variant_116.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op_release/variant_116/variant_116.json
18:42:35.863 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:42:35.863 INFO  ExecHelper - Result: 127
18:42:35.864 INFO  CustomFileJudge - Custom file judge result: 127
18:42:35.864 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:42:35.875 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_release/variant_116.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op_release/variant_116/variant_116.json
18:42:35.876 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:42:35.876 INFO  ExecHelper - Result: 127
18:42:35.876 INFO  CustomFileJudge - Custom file judge result: 127
18:42:35.876 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:42:35.886 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_release/variant_116.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op_release/variant_116/variant_116.json
18:42:35.887 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:42:35.887 INFO  ExecHelper - Result: 127
18:42:35.887 INFO  CustomFileJudge - Custom file judge result: 127
18:42:35.887 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:42:35.897 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_release/variant_116.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op_release/variant_116/variant_116.json
18:42:35.898 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:42:35.898 INFO  ExecHelper - Result: 127
18:42:35.898 INFO  CustomFileJudge - Custom file judge result: 127
18:42:35.898 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:42:35.907 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_release/variant_116.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op_release/variant_116/variant_116.json
18:42:35.908 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:42:35.908 INFO  ExecHelper - Result: 127
18:42:35.908 INFO  CustomFileJudge - Custom file judge result: 127
18:42:35.908 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:42:35.908 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_release/variant_116.json interestingness_test --output reduction_results/cezanne_radeon_vega/syn_subgroup_op_release/variant_116 /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_release/variant_116.comp
