18:43:25.734 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:43:25.781 INFO  ExecHelper - Result: 0
18:43:25.841 INFO  ReductionDriver - Starting reduction for variant_111
18:43:25.845 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_branch_syn/variant_111.comp reduction_results/intel_iris_xe_graphics/syn_branch_syn/variant_111/variant_111.json
18:43:25.847 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:43:25.848 INFO  ExecHelper - Result: 127
18:43:25.848 INFO  CustomFileJudge - Custom file judge result: 127
18:43:25.848 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:43:25.848 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_branch_syn/variant_111.comp reduction_results/intel_iris_xe_graphics/syn_branch_syn/variant_111/variant_111.json
18:43:25.849 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:43:25.850 INFO  ExecHelper - Result: 127
18:43:25.850 INFO  CustomFileJudge - Custom file judge result: 127
18:43:25.850 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:43:25.850 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_branch_syn/variant_111.comp reduction_results/intel_iris_xe_graphics/syn_branch_syn/variant_111/variant_111.json
18:43:25.851 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:43:25.852 INFO  ExecHelper - Result: 127
18:43:25.852 INFO  CustomFileJudge - Custom file judge result: 127
18:43:25.852 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:43:25.852 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_branch_syn/variant_111.comp reduction_results/intel_iris_xe_graphics/syn_branch_syn/variant_111/variant_111.json
18:43:25.854 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:43:25.854 INFO  ExecHelper - Result: 127
18:43:25.854 INFO  CustomFileJudge - Custom file judge result: 127
18:43:25.854 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:43:25.855 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_branch_syn/variant_111.comp reduction_results/intel_iris_xe_graphics/syn_branch_syn/variant_111/variant_111.json
18:43:25.856 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:43:25.856 INFO  ExecHelper - Result: 127
18:43:25.856 INFO  CustomFileJudge - Custom file judge result: 127
18:43:25.856 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:43:25.856 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/intel_iris_xe_graphics/syn_branch_syn/variant_111.json interestingness_test --output reduction_results/intel_iris_xe_graphics/syn_branch_syn/variant_111 /opt/reduce/intel_iris_xe_graphics/syn_branch_syn/variant_111.comp
