18:45:43.764 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:45:43.930 INFO  ExecHelper - Result: 0
18:45:44.673 INFO  ReductionDriver - Starting reduction for variant_917
18:45:44.687 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_branch_syn_relax/variant_917.comp reduction_results/intel_iris_xe_graphics/syn_branch_syn_relax/variant_917/variant_917.json
18:45:44.689 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:45:44.689 INFO  ExecHelper - Result: 127
18:45:44.689 INFO  CustomFileJudge - Custom file judge result: 127
18:45:44.689 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:45:44.695 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_branch_syn_relax/variant_917.comp reduction_results/intel_iris_xe_graphics/syn_branch_syn_relax/variant_917/variant_917.json
18:45:44.696 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:45:44.696 INFO  ExecHelper - Result: 127
18:45:44.696 INFO  CustomFileJudge - Custom file judge result: 127
18:45:44.696 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:45:44.700 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_branch_syn_relax/variant_917.comp reduction_results/intel_iris_xe_graphics/syn_branch_syn_relax/variant_917/variant_917.json
18:45:44.701 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:45:44.702 INFO  ExecHelper - Result: 127
18:45:44.702 INFO  CustomFileJudge - Custom file judge result: 127
18:45:44.702 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:45:44.707 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_branch_syn_relax/variant_917.comp reduction_results/intel_iris_xe_graphics/syn_branch_syn_relax/variant_917/variant_917.json
18:45:44.708 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:45:44.708 INFO  ExecHelper - Result: 127
18:45:44.708 INFO  CustomFileJudge - Custom file judge result: 127
18:45:44.708 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:45:44.713 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_branch_syn_relax/variant_917.comp reduction_results/intel_iris_xe_graphics/syn_branch_syn_relax/variant_917/variant_917.json
18:45:44.715 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:45:44.715 INFO  ExecHelper - Result: 127
18:45:44.715 INFO  CustomFileJudge - Custom file judge result: 127
18:45:44.715 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:45:44.715 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/intel_iris_xe_graphics/syn_branch_syn_relax/variant_917.json interestingness_test --output reduction_results/intel_iris_xe_graphics/syn_branch_syn_relax/variant_917 /opt/reduce/intel_iris_xe_graphics/syn_branch_syn_relax/variant_917.comp
