18:45:54.810 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:45:54.863 INFO  ExecHelper - Result: 0
18:45:54.927 INFO  ReductionDriver - Starting reduction for variant_075
18:45:54.931 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_branch_syn_release/variant_075.comp reduction_results/intel_iris_xe_graphics/syn_branch_syn_release/variant_075/variant_075.json
18:45:54.933 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:45:54.934 INFO  ExecHelper - Result: 127
18:45:54.934 INFO  CustomFileJudge - Custom file judge result: 127
18:45:54.934 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:45:54.935 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_branch_syn_release/variant_075.comp reduction_results/intel_iris_xe_graphics/syn_branch_syn_release/variant_075/variant_075.json
18:45:54.936 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:45:54.937 INFO  ExecHelper - Result: 127
18:45:54.937 INFO  CustomFileJudge - Custom file judge result: 127
18:45:54.937 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:45:54.937 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_branch_syn_release/variant_075.comp reduction_results/intel_iris_xe_graphics/syn_branch_syn_release/variant_075/variant_075.json
18:45:54.939 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:45:54.939 INFO  ExecHelper - Result: 127
18:45:54.939 INFO  CustomFileJudge - Custom file judge result: 127
18:45:54.939 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:45:54.939 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_branch_syn_release/variant_075.comp reduction_results/intel_iris_xe_graphics/syn_branch_syn_release/variant_075/variant_075.json
18:45:54.940 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:45:54.941 INFO  ExecHelper - Result: 127
18:45:54.941 INFO  CustomFileJudge - Custom file judge result: 127
18:45:54.941 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:45:54.942 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_branch_syn_release/variant_075.comp reduction_results/intel_iris_xe_graphics/syn_branch_syn_release/variant_075/variant_075.json
18:45:54.943 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:45:54.943 INFO  ExecHelper - Result: 127
18:45:54.943 INFO  CustomFileJudge - Custom file judge result: 127
18:45:54.943 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:45:54.943 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/intel_iris_xe_graphics/syn_branch_syn_release/variant_075.json interestingness_test --output reduction_results/intel_iris_xe_graphics/syn_branch_syn_release/variant_075 /opt/reduce/intel_iris_xe_graphics/syn_branch_syn_release/variant_075.comp
