18:47:16.479 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:47:16.530 INFO  ExecHelper - Result: 0
18:47:16.591 INFO  ReductionDriver - Starting reduction for variant_478
18:47:16.596 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step/variant_478.comp reduction_results/intel_iris_xe_graphics/syn_lock_step/variant_478/variant_478.json
18:47:16.598 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:47:16.599 INFO  ExecHelper - Result: 127
18:47:16.599 INFO  CustomFileJudge - Custom file judge result: 127
18:47:16.599 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:47:16.599 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step/variant_478.comp reduction_results/intel_iris_xe_graphics/syn_lock_step/variant_478/variant_478.json
18:47:16.600 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:47:16.601 INFO  ExecHelper - Result: 127
18:47:16.601 INFO  CustomFileJudge - Custom file judge result: 127
18:47:16.601 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:47:16.601 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step/variant_478.comp reduction_results/intel_iris_xe_graphics/syn_lock_step/variant_478/variant_478.json
18:47:16.603 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:47:16.603 INFO  ExecHelper - Result: 127
18:47:16.603 INFO  CustomFileJudge - Custom file judge result: 127
18:47:16.603 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:47:16.604 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step/variant_478.comp reduction_results/intel_iris_xe_graphics/syn_lock_step/variant_478/variant_478.json
18:47:16.605 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:47:16.605 INFO  ExecHelper - Result: 127
18:47:16.605 INFO  CustomFileJudge - Custom file judge result: 127
18:47:16.605 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:47:16.606 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step/variant_478.comp reduction_results/intel_iris_xe_graphics/syn_lock_step/variant_478/variant_478.json
18:47:16.607 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:47:16.607 INFO  ExecHelper - Result: 127
18:47:16.607 INFO  CustomFileJudge - Custom file judge result: 127
18:47:16.607 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:47:16.607 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/intel_iris_xe_graphics/syn_lock_step/variant_478.json interestingness_test --output reduction_results/intel_iris_xe_graphics/syn_lock_step/variant_478 /opt/reduce/intel_iris_xe_graphics/syn_lock_step/variant_478.comp
