18:48:34.832 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:48:34.878 INFO  ExecHelper - Result: 0
18:48:34.936 INFO  ReductionDriver - Starting reduction for variant_630
18:48:34.941 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step_relax/variant_630.comp reduction_results/intel_iris_xe_graphics/syn_lock_step_relax/variant_630/variant_630.json
18:48:34.942 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:48:34.943 INFO  ExecHelper - Result: 127
18:48:34.943 INFO  CustomFileJudge - Custom file judge result: 127
18:48:34.943 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:48:34.944 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step_relax/variant_630.comp reduction_results/intel_iris_xe_graphics/syn_lock_step_relax/variant_630/variant_630.json
18:48:34.944 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:48:34.945 INFO  ExecHelper - Result: 127
18:48:34.945 INFO  CustomFileJudge - Custom file judge result: 127
18:48:34.945 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:48:34.946 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step_relax/variant_630.comp reduction_results/intel_iris_xe_graphics/syn_lock_step_relax/variant_630/variant_630.json
18:48:34.947 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:48:34.947 INFO  ExecHelper - Result: 127
18:48:34.947 INFO  CustomFileJudge - Custom file judge result: 127
18:48:34.947 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:48:34.948 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step_relax/variant_630.comp reduction_results/intel_iris_xe_graphics/syn_lock_step_relax/variant_630/variant_630.json
18:48:34.949 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:48:34.949 INFO  ExecHelper - Result: 127
18:48:34.949 INFO  CustomFileJudge - Custom file judge result: 127
18:48:34.949 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:48:34.950 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step_relax/variant_630.comp reduction_results/intel_iris_xe_graphics/syn_lock_step_relax/variant_630/variant_630.json
18:48:34.951 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:48:34.951 INFO  ExecHelper - Result: 127
18:48:34.951 INFO  CustomFileJudge - Custom file judge result: 127
18:48:34.951 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:48:34.951 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/intel_iris_xe_graphics/syn_lock_step_relax/variant_630.json interestingness_test --output reduction_results/intel_iris_xe_graphics/syn_lock_step_relax/variant_630 /opt/reduce/intel_iris_xe_graphics/syn_lock_step_relax/variant_630.comp
