18:49:13.430 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:49:13.477 INFO  ExecHelper - Result: 0
18:49:13.539 INFO  ReductionDriver - Starting reduction for variant_307
18:49:13.543 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step_release/variant_307.comp reduction_results/intel_iris_xe_graphics/syn_lock_step_release/variant_307/variant_307.json
18:49:13.544 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:49:13.545 INFO  ExecHelper - Result: 127
18:49:13.545 INFO  CustomFileJudge - Custom file judge result: 127
18:49:13.545 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:49:13.546 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step_release/variant_307.comp reduction_results/intel_iris_xe_graphics/syn_lock_step_release/variant_307/variant_307.json
18:49:13.547 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:49:13.547 INFO  ExecHelper - Result: 127
18:49:13.547 INFO  CustomFileJudge - Custom file judge result: 127
18:49:13.547 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:49:13.548 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step_release/variant_307.comp reduction_results/intel_iris_xe_graphics/syn_lock_step_release/variant_307/variant_307.json
18:49:13.549 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:49:13.549 INFO  ExecHelper - Result: 127
18:49:13.550 INFO  CustomFileJudge - Custom file judge result: 127
18:49:13.550 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:49:13.550 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step_release/variant_307.comp reduction_results/intel_iris_xe_graphics/syn_lock_step_release/variant_307/variant_307.json
18:49:13.551 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:49:13.551 INFO  ExecHelper - Result: 127
18:49:13.551 INFO  CustomFileJudge - Custom file judge result: 127
18:49:13.551 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:49:13.552 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step_release/variant_307.comp reduction_results/intel_iris_xe_graphics/syn_lock_step_release/variant_307/variant_307.json
18:49:13.553 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:49:13.553 INFO  ExecHelper - Result: 127
18:49:13.553 INFO  CustomFileJudge - Custom file judge result: 127
18:49:13.553 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:49:13.553 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/intel_iris_xe_graphics/syn_lock_step_release/variant_307.json interestingness_test --output reduction_results/intel_iris_xe_graphics/syn_lock_step_release/variant_307 /opt/reduce/intel_iris_xe_graphics/syn_lock_step_release/variant_307.comp
