19:00:26.289 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:00:26.339 INFO  ExecHelper - Result: 0
19:00:26.395 INFO  ReductionDriver - Starting reduction for variant_732
19:00:26.400 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_memory_converge/variant_732.comp reduction_results/intel_iris_xe_graphics/syn_memory_converge/variant_732/variant_732.json
19:00:26.402 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:00:26.402 INFO  ExecHelper - Result: 127
19:00:26.402 INFO  CustomFileJudge - Custom file judge result: 127
19:00:26.402 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:00:26.403 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_memory_converge/variant_732.comp reduction_results/intel_iris_xe_graphics/syn_memory_converge/variant_732/variant_732.json
19:00:26.404 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:00:26.404 INFO  ExecHelper - Result: 127
19:00:26.404 INFO  CustomFileJudge - Custom file judge result: 127
19:00:26.404 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:00:26.405 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_memory_converge/variant_732.comp reduction_results/intel_iris_xe_graphics/syn_memory_converge/variant_732/variant_732.json
19:00:26.406 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:00:26.406 INFO  ExecHelper - Result: 127
19:00:26.406 INFO  CustomFileJudge - Custom file judge result: 127
19:00:26.406 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:00:26.407 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_memory_converge/variant_732.comp reduction_results/intel_iris_xe_graphics/syn_memory_converge/variant_732/variant_732.json
19:00:26.408 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:00:26.408 INFO  ExecHelper - Result: 127
19:00:26.409 INFO  CustomFileJudge - Custom file judge result: 127
19:00:26.409 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:00:26.409 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_memory_converge/variant_732.comp reduction_results/intel_iris_xe_graphics/syn_memory_converge/variant_732/variant_732.json
19:00:26.410 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:00:26.410 INFO  ExecHelper - Result: 127
19:00:26.410 INFO  CustomFileJudge - Custom file judge result: 127
19:00:26.411 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:00:26.411 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/intel_iris_xe_graphics/syn_memory_converge/variant_732.json interestingness_test --output reduction_results/intel_iris_xe_graphics/syn_memory_converge/variant_732 /opt/reduce/intel_iris_xe_graphics/syn_memory_converge/variant_732.comp
