19:16:41.827 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:16:41.874 INFO  ExecHelper - Result: 0
19:16:41.932 INFO  ReductionDriver - Starting reduction for variant_842
19:16:41.936 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_memory_converge_atomic/variant_842.comp reduction_results/intel_iris_xe_graphics/syn_memory_converge_atomic/variant_842/variant_842.json
19:16:41.938 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:16:41.938 INFO  ExecHelper - Result: 127
19:16:41.939 INFO  CustomFileJudge - Custom file judge result: 127
19:16:41.939 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:16:41.939 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_memory_converge_atomic/variant_842.comp reduction_results/intel_iris_xe_graphics/syn_memory_converge_atomic/variant_842/variant_842.json
19:16:41.940 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:16:41.941 INFO  ExecHelper - Result: 127
19:16:41.941 INFO  CustomFileJudge - Custom file judge result: 127
19:16:41.941 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:16:41.942 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_memory_converge_atomic/variant_842.comp reduction_results/intel_iris_xe_graphics/syn_memory_converge_atomic/variant_842/variant_842.json
19:16:41.942 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:16:41.943 INFO  ExecHelper - Result: 127
19:16:41.943 INFO  CustomFileJudge - Custom file judge result: 127
19:16:41.943 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:16:41.944 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_memory_converge_atomic/variant_842.comp reduction_results/intel_iris_xe_graphics/syn_memory_converge_atomic/variant_842/variant_842.json
19:16:41.944 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:16:41.945 INFO  ExecHelper - Result: 127
19:16:41.945 INFO  CustomFileJudge - Custom file judge result: 127
19:16:41.945 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:16:41.946 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_memory_converge_atomic/variant_842.comp reduction_results/intel_iris_xe_graphics/syn_memory_converge_atomic/variant_842/variant_842.json
19:16:41.947 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:16:41.947 INFO  ExecHelper - Result: 127
19:16:41.947 INFO  CustomFileJudge - Custom file judge result: 127
19:16:41.947 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:16:41.947 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/intel_iris_xe_graphics/syn_memory_converge_atomic/variant_842.json interestingness_test --output reduction_results/intel_iris_xe_graphics/syn_memory_converge_atomic/variant_842 /opt/reduce/intel_iris_xe_graphics/syn_memory_converge_atomic/variant_842.comp
