19:19:19.560 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:19:19.662 INFO  ExecHelper - Result: 0
19:19:20.127 INFO  ReductionDriver - Starting reduction for variant_219
19:19:20.141 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op/variant_219.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op/variant_219/variant_219.json
19:19:20.143 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:19:20.143 INFO  ExecHelper - Result: 127
19:19:20.143 INFO  CustomFileJudge - Custom file judge result: 127
19:19:20.143 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:19:20.148 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op/variant_219.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op/variant_219/variant_219.json
19:19:20.149 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:19:20.150 INFO  ExecHelper - Result: 127
19:19:20.150 INFO  CustomFileJudge - Custom file judge result: 127
19:19:20.150 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:19:20.154 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op/variant_219.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op/variant_219/variant_219.json
19:19:20.156 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:19:20.156 INFO  ExecHelper - Result: 127
19:19:20.156 INFO  CustomFileJudge - Custom file judge result: 127
19:19:20.156 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:19:20.161 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op/variant_219.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op/variant_219/variant_219.json
19:19:20.163 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:19:20.163 INFO  ExecHelper - Result: 127
19:19:20.163 INFO  CustomFileJudge - Custom file judge result: 127
19:19:20.163 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:19:20.170 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op/variant_219.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op/variant_219/variant_219.json
19:19:20.172 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:19:20.172 INFO  ExecHelper - Result: 127
19:19:20.172 INFO  CustomFileJudge - Custom file judge result: 127
19:19:20.172 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:19:20.172 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op/variant_219.json interestingness_test --output reduction_results/intel_iris_xe_graphics/syn_subgroup_op/variant_219 /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op/variant_219.comp
