19:20:53.880 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:20:53.930 INFO  ExecHelper - Result: 0
19:20:54.044 INFO  ReductionDriver - Starting reduction for variant_522
19:20:54.057 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_relax/variant_522.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op_relax/variant_522/variant_522.json
19:20:54.059 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:20:54.059 INFO  ExecHelper - Result: 127
19:20:54.059 INFO  CustomFileJudge - Custom file judge result: 127
19:20:54.059 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:20:54.064 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_relax/variant_522.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op_relax/variant_522/variant_522.json
19:20:54.065 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:20:54.065 INFO  ExecHelper - Result: 127
19:20:54.065 INFO  CustomFileJudge - Custom file judge result: 127
19:20:54.065 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:20:54.069 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_relax/variant_522.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op_relax/variant_522/variant_522.json
19:20:54.070 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:20:54.070 INFO  ExecHelper - Result: 127
19:20:54.070 INFO  CustomFileJudge - Custom file judge result: 127
19:20:54.070 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:20:54.074 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_relax/variant_522.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op_relax/variant_522/variant_522.json
19:20:54.075 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:20:54.075 INFO  ExecHelper - Result: 127
19:20:54.075 INFO  CustomFileJudge - Custom file judge result: 127
19:20:54.075 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:20:54.080 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_relax/variant_522.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op_relax/variant_522/variant_522.json
19:20:54.081 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:20:54.081 INFO  ExecHelper - Result: 127
19:20:54.081 INFO  CustomFileJudge - Custom file judge result: 127
19:20:54.081 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:20:54.081 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_relax/variant_522.json interestingness_test --output reduction_results/intel_iris_xe_graphics/syn_subgroup_op_relax/variant_522 /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_relax/variant_522.comp
