19:22:25.030 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:22:25.080 INFO  ExecHelper - Result: 0
19:22:25.140 INFO  ReductionDriver - Starting reduction for variant_766
19:22:25.144 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_release/variant_766.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op_release/variant_766/variant_766.json
19:22:25.146 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:22:25.146 INFO  ExecHelper - Result: 127
19:22:25.146 INFO  CustomFileJudge - Custom file judge result: 127
19:22:25.146 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:22:25.147 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_release/variant_766.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op_release/variant_766/variant_766.json
19:22:25.148 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:22:25.149 INFO  ExecHelper - Result: 127
19:22:25.149 INFO  CustomFileJudge - Custom file judge result: 127
19:22:25.149 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:22:25.150 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_release/variant_766.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op_release/variant_766/variant_766.json
19:22:25.150 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:22:25.151 INFO  ExecHelper - Result: 127
19:22:25.151 INFO  CustomFileJudge - Custom file judge result: 127
19:22:25.151 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:22:25.152 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_release/variant_766.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op_release/variant_766/variant_766.json
19:22:25.152 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:22:25.153 INFO  ExecHelper - Result: 127
19:22:25.153 INFO  CustomFileJudge - Custom file judge result: 127
19:22:25.153 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:22:25.154 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_release/variant_766.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op_release/variant_766/variant_766.json
19:22:25.155 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:22:25.155 INFO  ExecHelper - Result: 127
19:22:25.155 INFO  CustomFileJudge - Custom file judge result: 127
19:22:25.155 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:22:25.155 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_release/variant_766.json interestingness_test --output reduction_results/intel_iris_xe_graphics/syn_subgroup_op_release/variant_766 /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_release/variant_766.comp
