19:22:58.196 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:22:58.362 INFO  ExecHelper - Result: 0
19:22:59.290 INFO  ReductionDriver - Starting reduction for variant_201
19:22:59.308 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_branch_syn/variant_201.comp reduction_results/rtx_4070/syn_branch_syn/variant_201/variant_201.json
19:22:59.310 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:22:59.310 INFO  ExecHelper - Result: 127
19:22:59.310 INFO  CustomFileJudge - Custom file judge result: 127
19:22:59.310 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:22:59.319 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_branch_syn/variant_201.comp reduction_results/rtx_4070/syn_branch_syn/variant_201/variant_201.json
19:22:59.321 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:22:59.321 INFO  ExecHelper - Result: 127
19:22:59.321 INFO  CustomFileJudge - Custom file judge result: 127
19:22:59.321 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:22:59.329 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_branch_syn/variant_201.comp reduction_results/rtx_4070/syn_branch_syn/variant_201/variant_201.json
19:22:59.331 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:22:59.331 INFO  ExecHelper - Result: 127
19:22:59.331 INFO  CustomFileJudge - Custom file judge result: 127
19:22:59.331 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:22:59.339 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_branch_syn/variant_201.comp reduction_results/rtx_4070/syn_branch_syn/variant_201/variant_201.json
19:22:59.339 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:22:59.340 INFO  ExecHelper - Result: 127
19:22:59.340 INFO  CustomFileJudge - Custom file judge result: 127
19:22:59.340 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:22:59.347 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_branch_syn/variant_201.comp reduction_results/rtx_4070/syn_branch_syn/variant_201/variant_201.json
19:22:59.348 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:22:59.348 INFO  ExecHelper - Result: 127
19:22:59.349 INFO  CustomFileJudge - Custom file judge result: 127
19:22:59.349 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:22:59.349 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/rtx_4070/syn_branch_syn/variant_201.json interestingness_test --output reduction_results/rtx_4070/syn_branch_syn/variant_201 /opt/reduce/rtx_4070/syn_branch_syn/variant_201.comp
