19:23:51.487 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:23:51.784 INFO  ExecHelper - Result: 0
19:23:52.465 INFO  ReductionDriver - Starting reduction for variant_285
19:23:52.479 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_branch_syn_relax/variant_285.comp reduction_results/rtx_4070/syn_branch_syn_relax/variant_285/variant_285.json
19:23:52.481 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:23:52.481 INFO  ExecHelper - Result: 127
19:23:52.481 INFO  CustomFileJudge - Custom file judge result: 127
19:23:52.481 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:23:52.487 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_branch_syn_relax/variant_285.comp reduction_results/rtx_4070/syn_branch_syn_relax/variant_285/variant_285.json
19:23:52.488 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:23:52.488 INFO  ExecHelper - Result: 127
19:23:52.488 INFO  CustomFileJudge - Custom file judge result: 127
19:23:52.488 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:23:52.493 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_branch_syn_relax/variant_285.comp reduction_results/rtx_4070/syn_branch_syn_relax/variant_285/variant_285.json
19:23:52.494 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:23:52.494 INFO  ExecHelper - Result: 127
19:23:52.494 INFO  CustomFileJudge - Custom file judge result: 127
19:23:52.494 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:23:52.499 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_branch_syn_relax/variant_285.comp reduction_results/rtx_4070/syn_branch_syn_relax/variant_285/variant_285.json
19:23:52.500 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:23:52.501 INFO  ExecHelper - Result: 127
19:23:52.501 INFO  CustomFileJudge - Custom file judge result: 127
19:23:52.501 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:23:52.509 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_branch_syn_relax/variant_285.comp reduction_results/rtx_4070/syn_branch_syn_relax/variant_285/variant_285.json
19:23:52.523 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:23:52.523 INFO  ExecHelper - Result: 127
19:23:52.523 INFO  CustomFileJudge - Custom file judge result: 127
19:23:52.523 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:23:52.523 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/rtx_4070/syn_branch_syn_relax/variant_285.json interestingness_test --output reduction_results/rtx_4070/syn_branch_syn_relax/variant_285 /opt/reduce/rtx_4070/syn_branch_syn_relax/variant_285.comp
