19:24:18.926 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:24:18.994 INFO  ExecHelper - Result: 0
19:24:19.400 INFO  ReductionDriver - Starting reduction for variant_005
19:24:19.414 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_branch_syn_release/variant_005.comp reduction_results/rtx_4070/syn_branch_syn_release/variant_005/variant_005.json
19:24:19.415 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:24:19.416 INFO  ExecHelper - Result: 127
19:24:19.416 INFO  CustomFileJudge - Custom file judge result: 127
19:24:19.416 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:24:19.421 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_branch_syn_release/variant_005.comp reduction_results/rtx_4070/syn_branch_syn_release/variant_005/variant_005.json
19:24:19.423 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:24:19.423 INFO  ExecHelper - Result: 127
19:24:19.423 INFO  CustomFileJudge - Custom file judge result: 127
19:24:19.423 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:24:19.434 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_branch_syn_release/variant_005.comp reduction_results/rtx_4070/syn_branch_syn_release/variant_005/variant_005.json
19:24:19.435 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:24:19.435 INFO  ExecHelper - Result: 127
19:24:19.435 INFO  CustomFileJudge - Custom file judge result: 127
19:24:19.435 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:24:19.440 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_branch_syn_release/variant_005.comp reduction_results/rtx_4070/syn_branch_syn_release/variant_005/variant_005.json
19:24:19.441 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:24:19.441 INFO  ExecHelper - Result: 127
19:24:19.441 INFO  CustomFileJudge - Custom file judge result: 127
19:24:19.441 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:24:19.445 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_branch_syn_release/variant_005.comp reduction_results/rtx_4070/syn_branch_syn_release/variant_005/variant_005.json
19:24:19.447 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:24:19.447 INFO  ExecHelper - Result: 127
19:24:19.447 INFO  CustomFileJudge - Custom file judge result: 127
19:24:19.447 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:24:19.447 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/rtx_4070/syn_branch_syn_release/variant_005.json interestingness_test --output reduction_results/rtx_4070/syn_branch_syn_release/variant_005 /opt/reduce/rtx_4070/syn_branch_syn_release/variant_005.comp
