19:24:51.939 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:24:52.232 INFO  ExecHelper - Result: 0
19:24:53.150 INFO  ReductionDriver - Starting reduction for variant_252
19:24:53.164 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_lock_step/variant_252.comp reduction_results/rtx_4070/syn_lock_step/variant_252/variant_252.json
19:24:53.166 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:24:53.166 INFO  ExecHelper - Result: 127
19:24:53.166 INFO  CustomFileJudge - Custom file judge result: 127
19:24:53.166 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:24:53.172 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_lock_step/variant_252.comp reduction_results/rtx_4070/syn_lock_step/variant_252/variant_252.json
19:24:53.173 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:24:53.173 INFO  ExecHelper - Result: 127
19:24:53.173 INFO  CustomFileJudge - Custom file judge result: 127
19:24:53.173 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:24:53.178 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_lock_step/variant_252.comp reduction_results/rtx_4070/syn_lock_step/variant_252/variant_252.json
19:24:53.179 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:24:53.180 INFO  ExecHelper - Result: 127
19:24:53.180 INFO  CustomFileJudge - Custom file judge result: 127
19:24:53.180 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:24:53.184 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_lock_step/variant_252.comp reduction_results/rtx_4070/syn_lock_step/variant_252/variant_252.json
19:24:53.186 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:24:53.186 INFO  ExecHelper - Result: 127
19:24:53.186 INFO  CustomFileJudge - Custom file judge result: 127
19:24:53.186 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:24:53.190 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_lock_step/variant_252.comp reduction_results/rtx_4070/syn_lock_step/variant_252/variant_252.json
19:24:53.192 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:24:53.192 INFO  ExecHelper - Result: 127
19:24:53.192 INFO  CustomFileJudge - Custom file judge result: 127
19:24:53.192 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:24:53.192 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/rtx_4070/syn_lock_step/variant_252.json interestingness_test --output reduction_results/rtx_4070/syn_lock_step/variant_252 /opt/reduce/rtx_4070/syn_lock_step/variant_252.comp
