19:25:25.593 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:25:25.657 INFO  ExecHelper - Result: 0
19:25:26.423 INFO  ReductionDriver - Starting reduction for variant_241
19:25:26.460 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_lock_step_relax/variant_241.comp reduction_results/rtx_4070/syn_lock_step_relax/variant_241/variant_241.json
19:25:26.462 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:25:26.462 INFO  ExecHelper - Result: 127
19:25:26.462 INFO  CustomFileJudge - Custom file judge result: 127
19:25:26.462 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:25:26.483 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_lock_step_relax/variant_241.comp reduction_results/rtx_4070/syn_lock_step_relax/variant_241/variant_241.json
19:25:26.484 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:25:26.485 INFO  ExecHelper - Result: 127
19:25:26.485 INFO  CustomFileJudge - Custom file judge result: 127
19:25:26.485 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:25:26.504 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_lock_step_relax/variant_241.comp reduction_results/rtx_4070/syn_lock_step_relax/variant_241/variant_241.json
19:25:26.506 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:25:26.506 INFO  ExecHelper - Result: 127
19:25:26.506 INFO  CustomFileJudge - Custom file judge result: 127
19:25:26.506 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:25:26.526 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_lock_step_relax/variant_241.comp reduction_results/rtx_4070/syn_lock_step_relax/variant_241/variant_241.json
19:25:26.528 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:25:26.528 INFO  ExecHelper - Result: 127
19:25:26.528 INFO  CustomFileJudge - Custom file judge result: 127
19:25:26.528 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:25:26.549 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_lock_step_relax/variant_241.comp reduction_results/rtx_4070/syn_lock_step_relax/variant_241/variant_241.json
19:25:26.552 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:25:26.552 INFO  ExecHelper - Result: 127
19:25:26.552 INFO  CustomFileJudge - Custom file judge result: 127
19:25:26.552 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:25:26.552 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/rtx_4070/syn_lock_step_relax/variant_241.json interestingness_test --output reduction_results/rtx_4070/syn_lock_step_relax/variant_241 /opt/reduce/rtx_4070/syn_lock_step_relax/variant_241.comp
