19:26:07.314 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:26:07.457 INFO  ExecHelper - Result: 0
19:26:07.968 INFO  ReductionDriver - Starting reduction for variant_892
19:26:07.981 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_lock_step_release/variant_892.comp reduction_results/rtx_4070/syn_lock_step_release/variant_892/variant_892.json
19:26:07.983 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:26:07.983 INFO  ExecHelper - Result: 127
19:26:07.983 INFO  CustomFileJudge - Custom file judge result: 127
19:26:07.983 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:26:07.987 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_lock_step_release/variant_892.comp reduction_results/rtx_4070/syn_lock_step_release/variant_892/variant_892.json
19:26:07.988 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:26:07.988 INFO  ExecHelper - Result: 127
19:26:07.988 INFO  CustomFileJudge - Custom file judge result: 127
19:26:07.988 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:26:07.991 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_lock_step_release/variant_892.comp reduction_results/rtx_4070/syn_lock_step_release/variant_892/variant_892.json
19:26:07.992 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:26:07.993 INFO  ExecHelper - Result: 127
19:26:07.993 INFO  CustomFileJudge - Custom file judge result: 127
19:26:07.993 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:26:07.996 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_lock_step_release/variant_892.comp reduction_results/rtx_4070/syn_lock_step_release/variant_892/variant_892.json
19:26:07.997 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:26:07.997 INFO  ExecHelper - Result: 127
19:26:07.997 INFO  CustomFileJudge - Custom file judge result: 127
19:26:07.997 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:26:08.000 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_lock_step_release/variant_892.comp reduction_results/rtx_4070/syn_lock_step_release/variant_892/variant_892.json
19:26:08.001 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:26:08.001 INFO  ExecHelper - Result: 127
19:26:08.001 INFO  CustomFileJudge - Custom file judge result: 127
19:26:08.001 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:26:08.001 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/rtx_4070/syn_lock_step_release/variant_892.json interestingness_test --output reduction_results/rtx_4070/syn_lock_step_release/variant_892 /opt/reduce/rtx_4070/syn_lock_step_release/variant_892.comp
