19:29:47.331 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:29:47.382 INFO  ExecHelper - Result: 0
19:29:47.440 INFO  ReductionDriver - Starting reduction for variant_258
19:29:47.445 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge/variant_258.comp reduction_results/rtx_4070/syn_memory_converge/variant_258/variant_258.json
19:29:47.447 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:29:47.447 INFO  ExecHelper - Result: 127
19:29:47.447 INFO  CustomFileJudge - Custom file judge result: 127
19:29:47.447 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:29:47.448 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge/variant_258.comp reduction_results/rtx_4070/syn_memory_converge/variant_258/variant_258.json
19:29:47.449 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:29:47.449 INFO  ExecHelper - Result: 127
19:29:47.449 INFO  CustomFileJudge - Custom file judge result: 127
19:29:47.449 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:29:47.450 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge/variant_258.comp reduction_results/rtx_4070/syn_memory_converge/variant_258/variant_258.json
19:29:47.451 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:29:47.452 INFO  ExecHelper - Result: 127
19:29:47.452 INFO  CustomFileJudge - Custom file judge result: 127
19:29:47.452 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:29:47.452 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge/variant_258.comp reduction_results/rtx_4070/syn_memory_converge/variant_258/variant_258.json
19:29:47.453 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:29:47.454 INFO  ExecHelper - Result: 127
19:29:47.454 INFO  CustomFileJudge - Custom file judge result: 127
19:29:47.454 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:29:47.454 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge/variant_258.comp reduction_results/rtx_4070/syn_memory_converge/variant_258/variant_258.json
19:29:47.456 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:29:47.456 INFO  ExecHelper - Result: 127
19:29:47.456 INFO  CustomFileJudge - Custom file judge result: 127
19:29:47.456 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:29:47.456 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/rtx_4070/syn_memory_converge/variant_258.json interestingness_test --output reduction_results/rtx_4070/syn_memory_converge/variant_258 /opt/reduce/rtx_4070/syn_memory_converge/variant_258.comp
