19:41:47.536 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:41:47.589 INFO  ExecHelper - Result: 0
19:41:47.645 INFO  ReductionDriver - Starting reduction for variant_109
19:41:47.650 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge_atomic/variant_109.comp reduction_results/rtx_4070/syn_memory_converge_atomic/variant_109/variant_109.json
19:41:47.651 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:41:47.652 INFO  ExecHelper - Result: 127
19:41:47.652 INFO  CustomFileJudge - Custom file judge result: 127
19:41:47.652 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:41:47.652 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge_atomic/variant_109.comp reduction_results/rtx_4070/syn_memory_converge_atomic/variant_109/variant_109.json
19:41:47.653 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:41:47.654 INFO  ExecHelper - Result: 127
19:41:47.654 INFO  CustomFileJudge - Custom file judge result: 127
19:41:47.654 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:41:47.654 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge_atomic/variant_109.comp reduction_results/rtx_4070/syn_memory_converge_atomic/variant_109/variant_109.json
19:41:47.655 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:41:47.656 INFO  ExecHelper - Result: 127
19:41:47.656 INFO  CustomFileJudge - Custom file judge result: 127
19:41:47.656 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:41:47.656 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge_atomic/variant_109.comp reduction_results/rtx_4070/syn_memory_converge_atomic/variant_109/variant_109.json
19:41:47.657 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:41:47.658 INFO  ExecHelper - Result: 127
19:41:47.658 INFO  CustomFileJudge - Custom file judge result: 127
19:41:47.658 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:41:47.658 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge_atomic/variant_109.comp reduction_results/rtx_4070/syn_memory_converge_atomic/variant_109/variant_109.json
19:41:47.659 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:41:47.660 INFO  ExecHelper - Result: 127
19:41:47.660 INFO  CustomFileJudge - Custom file judge result: 127
19:41:47.660 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:41:47.660 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/rtx_4070/syn_memory_converge_atomic/variant_109.json interestingness_test --output reduction_results/rtx_4070/syn_memory_converge_atomic/variant_109 /opt/reduce/rtx_4070/syn_memory_converge_atomic/variant_109.comp
