19:55:30.187 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:55:30.514 INFO  ExecHelper - Result: 0
19:55:31.037 INFO  ReductionDriver - Starting reduction for variant_587
19:55:31.051 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_subgroup_op/variant_587.comp reduction_results/rtx_4070/syn_subgroup_op/variant_587/variant_587.json
19:55:31.053 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:55:31.053 INFO  ExecHelper - Result: 127
19:55:31.053 INFO  CustomFileJudge - Custom file judge result: 127
19:55:31.053 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:55:31.058 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_subgroup_op/variant_587.comp reduction_results/rtx_4070/syn_subgroup_op/variant_587/variant_587.json
19:55:31.060 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:55:31.060 INFO  ExecHelper - Result: 127
19:55:31.060 INFO  CustomFileJudge - Custom file judge result: 127
19:55:31.060 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:55:31.065 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_subgroup_op/variant_587.comp reduction_results/rtx_4070/syn_subgroup_op/variant_587/variant_587.json
19:55:31.066 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:55:31.066 INFO  ExecHelper - Result: 127
19:55:31.066 INFO  CustomFileJudge - Custom file judge result: 127
19:55:31.066 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:55:31.070 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_subgroup_op/variant_587.comp reduction_results/rtx_4070/syn_subgroup_op/variant_587/variant_587.json
19:55:31.071 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:55:31.073 INFO  ExecHelper - Result: 127
19:55:31.073 INFO  CustomFileJudge - Custom file judge result: 127
19:55:31.073 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:55:31.076 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_subgroup_op/variant_587.comp reduction_results/rtx_4070/syn_subgroup_op/variant_587/variant_587.json
19:55:31.078 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:55:31.078 INFO  ExecHelper - Result: 127
19:55:31.078 INFO  CustomFileJudge - Custom file judge result: 127
19:55:31.078 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:55:31.078 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/rtx_4070/syn_subgroup_op/variant_587.json interestingness_test --output reduction_results/rtx_4070/syn_subgroup_op/variant_587 /opt/reduce/rtx_4070/syn_subgroup_op/variant_587.comp
