19:55:58.781 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:55:58.854 INFO  ExecHelper - Result: 0
19:55:59.351 INFO  ReductionDriver - Starting reduction for variant_483
19:55:59.370 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_subgroup_op_relax/variant_483.comp reduction_results/rtx_4070/syn_subgroup_op_relax/variant_483/variant_483.json
19:55:59.372 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:55:59.372 INFO  ExecHelper - Result: 127
19:55:59.372 INFO  CustomFileJudge - Custom file judge result: 127
19:55:59.372 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:55:59.382 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_subgroup_op_relax/variant_483.comp reduction_results/rtx_4070/syn_subgroup_op_relax/variant_483/variant_483.json
19:55:59.382 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:55:59.383 INFO  ExecHelper - Result: 127
19:55:59.383 INFO  CustomFileJudge - Custom file judge result: 127
19:55:59.383 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:55:59.390 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_subgroup_op_relax/variant_483.comp reduction_results/rtx_4070/syn_subgroup_op_relax/variant_483/variant_483.json
19:55:59.391 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:55:59.391 INFO  ExecHelper - Result: 127
19:55:59.391 INFO  CustomFileJudge - Custom file judge result: 127
19:55:59.391 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:55:59.397 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_subgroup_op_relax/variant_483.comp reduction_results/rtx_4070/syn_subgroup_op_relax/variant_483/variant_483.json
19:55:59.398 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:55:59.399 INFO  ExecHelper - Result: 127
19:55:59.399 INFO  CustomFileJudge - Custom file judge result: 127
19:55:59.399 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:55:59.405 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_subgroup_op_relax/variant_483.comp reduction_results/rtx_4070/syn_subgroup_op_relax/variant_483/variant_483.json
19:55:59.406 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:55:59.406 INFO  ExecHelper - Result: 127
19:55:59.406 INFO  CustomFileJudge - Custom file judge result: 127
19:55:59.406 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:55:59.406 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/rtx_4070/syn_subgroup_op_relax/variant_483.json interestingness_test --output reduction_results/rtx_4070/syn_subgroup_op_relax/variant_483 /opt/reduce/rtx_4070/syn_subgroup_op_relax/variant_483.comp
