19:56:35.630 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:56:35.707 INFO  ExecHelper - Result: 0
19:56:36.339 INFO  ReductionDriver - Starting reduction for variant_417
19:56:36.364 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_subgroup_op_release/variant_417.comp reduction_results/rtx_4070/syn_subgroup_op_release/variant_417/variant_417.json
19:56:36.365 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:56:36.365 INFO  ExecHelper - Result: 127
19:56:36.365 INFO  CustomFileJudge - Custom file judge result: 127
19:56:36.366 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:56:36.379 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_subgroup_op_release/variant_417.comp reduction_results/rtx_4070/syn_subgroup_op_release/variant_417/variant_417.json
19:56:36.381 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:56:36.381 INFO  ExecHelper - Result: 127
19:56:36.381 INFO  CustomFileJudge - Custom file judge result: 127
19:56:36.381 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:56:36.393 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_subgroup_op_release/variant_417.comp reduction_results/rtx_4070/syn_subgroup_op_release/variant_417/variant_417.json
19:56:36.395 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:56:36.395 INFO  ExecHelper - Result: 127
19:56:36.395 INFO  CustomFileJudge - Custom file judge result: 127
19:56:36.395 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:56:36.406 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_subgroup_op_release/variant_417.comp reduction_results/rtx_4070/syn_subgroup_op_release/variant_417/variant_417.json
19:56:36.408 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:56:36.408 INFO  ExecHelper - Result: 127
19:56:36.408 INFO  CustomFileJudge - Custom file judge result: 127
19:56:36.408 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:56:36.419 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_subgroup_op_release/variant_417.comp reduction_results/rtx_4070/syn_subgroup_op_release/variant_417/variant_417.json
19:56:36.421 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:56:36.421 INFO  ExecHelper - Result: 127
19:56:36.421 INFO  CustomFileJudge - Custom file judge result: 127
19:56:36.421 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:56:36.421 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/rtx_4070/syn_subgroup_op_release/variant_417.json interestingness_test --output reduction_results/rtx_4070/syn_subgroup_op_release/variant_417 /opt/reduce/rtx_4070/syn_subgroup_op_release/variant_417.comp
